row_id,why_ambiguous,dbi_category,my_label,YOUR_LABEL,text
row-yie7~2ht2-tqd5,paint: lead vs peeling,interior surfaces section,(none),interior_surfaces,"repair damaged ceilings (1001b,h,o hc) secure, patch, plaster and paint unfinished sheetrock ceiling at family room area. you are required within 15 days to file a building permit application and commence repairs. you are required to complete the work within 30 days. signed permits must be presented"
row-j4tb.ixr4-nv73,no pattern matched,plumbing and electrical section,(none),ventilation_light,provide adequate lighting (504g hc) repair exterior lights on hampshire and 24th street side of building.
row-4izp~mfdm-cy6z,paint: lead vs peeling,interior surfaces section,peeling_paint,peeling_paint,"follow san francisco lead ordinance regulations ********important******* all peeling paint and substrates are assumed to have lead content. all paint chips and dust must be contained and removed per the san francisco existing building code. because removal of lead chips and dust is a specialty, the "
row-4vpr-b4vi~d9tp,paint: lead vs peeling,interior surfaces section,lead_paint,peeling_paint,"damaged paint (1301)sfhc (327)cebc this statement applies to all work areas, exterior and interior, where painted surfaces are affected. remove or cover damaged paint in an approved manner to prevent a lead hazard. see attached lead hazard warning."
row-uu39.s2z9~bh7z,three or more groups match,building section,(none),,"building permit required (301 hc) at the time of re-inspecting for nov # 201985721, at the rear exterior, a 1 story new deck was being constructed without the benifit of a permit. new deck was approx 25' wide, streching from property line to property line, approx. 5' in depth and approx. 10' off the"
row-md7i-xxx5_mhcm,paint: lead vs peeling,interior surfaces section,electrical,interior_surfaces,"repair damaged walls (1001b,h,o hc) 1. repair and paint all deteriorated walls and ceilings. 2. obtain building and electrical permits to repair the partitions/ceiling of the bathroom."
row-4k6n~2z7k-zpt2,three or more groups match,building section,plumbing,weather_windows,"repair the spalling concrete 1001 b13, c4 sfhc the sills and walls below the leaking windows are spalling. the concrete has deteriorated. remove damaged or contaminated materials and replace with new. prep, prime and paint to complete the repair."
row-f69m-rki5_fzvw,paint: lead vs peeling,interior surfaces section,plumbing,interior_surfaces,"repair damaged ceilings (1001b,h,o hc) at time of inspection, leak damage was observed in the following ceiling areas of unit#305: kitchen, living room, bathroom. repair and repaint in an approved manner. at time of inspection, no active leak was observed. however, there were signs of possible leak"
row-ink2_bdji.kibf,paint: lead vs peeling,interior surfaces section,plumbing,plumbing,"repair source of water damage (703,1001f hc) once source of water damage/intrusion into unit is located, repair source of water damage in an approved manner to prevent further water damage/intrusion. repair/replace any water damaged building materials (dry wall, plaster, paint, carpet, etc.), ensure"
row-rzuc.nvm6_vxgr,permit language wrapping a condition,plumbing and electrical section,electrical,Electrical,"remove gas line (1001(f)hc) relocate gas line from current location next to stove which runs vertically between floors and place it in required location in room #57, current location is not acceptable and must be moved immediately, plumbimg permit is required: *note* permits must be signed off by as"
row-u3hy_rqa3~bn3n,three or more groups match,interior surfaces section,lead_paint,mold,"eliminate mold/mildew on ceiling (1301,1001b(13),1306 hc) once the source of the leaks is repaired, the ceiling should be repaired. remove all damaged or contaminated material and replace with new. this is a fire rated assembly and requires a one hour fire rating in repair. replace the drywall with"
row-sban~4jbf~8str,permit language wrapping a condition,building section,(none),weather_windows,"repair/replace all window hardware, glazing seals, sash cords, sash frames and latches or cranks/operator handles (708 & 1001(h),(j) hc) repair window in second bedroom from front. at time of inspection, sash cord was broken and window not capable of staying open. ensure that all window hardware is"
row-z9mc.z5sa~b32t,no pattern matched,other section,(none),,"important note: this property is defined as a nuisance per sec. 1001-d of the sfhc. please open for inspection all common areas of the building at time of reinspection. please review the attached ""notice of violation warnings"" for information regarding failure to comply with this notice."
row-796y_yaux_qyz2,paint: lead vs peeling,interior surfaces section,lead_paint,peeling_paint,"damaged paint (1301)sfhc (327)cebc this statement applies to all work areas, exterior and interior, where painted surfaces are affected. remove or cover damaged paint in an approved manner to prevent a lead hazard. see attached lead hazard warning."
row-givd~5wwp~rv77,no pattern matched,other section,(none),,inspector comments (nuisance (401(2) (1001(d) hc) this property has been deemed a nuisance.
row-2edt~vhe8-jjpn,three or more groups match,building section,lead_paint,peeling_paint,weather proofing on stucco and siding (703)(1001(d)(h)(1301) sfhc there was peeling paint noted at the exterior walls of the building. obtain the services of a lead abatement contractor to remove damaged paint and apply new weather proofing as required. remove or cover damaged paint in an approved m
row-bmc9.4wvr-cvh5,permit language wrapping a condition,building section,(none),weather_windows,"repair window sash frame (1001(h),708 hc) repair the damaged windows at the rear wall of the building. individual window sash may be replaced in kind without a building permit. if window assemblies are replaced with new windows a building permit is required."
row-gdu8.x893-yxns,permit language wrapping a condition,fire section,fire_safety,fire_safety,"remove egress obstruction (801,1001(l) hc) entry gate on ground floor has a double cylinder dead bolt which not permitted. all exit doors must be operable, without a key, from the interior. remove double cylinder lock and install self locking device that is operable from the inside without a key."
row-s37i-ccsu_v6zs,permit language wrapping a condition,building section,fire_safety,fire_safety,"licensed architect, structural engineer, contrator, or pest control contractor required to inspect all building attachments (604(a), 1001(b.13)(d) hc) stairs, walkways/decks, fire escapes, &/or other building attachments not mentioned herein: the department of building inspection requires all owners"
row-3ws7~8kdw-w2em,paint: lead vs peeling,interior surfaces section,lead_paint,interior_surfaces,"repair damaged ceiling, walls, & trims (1001(a),(b)(13),(l) hc) a. remove flaking/peeling paint, and repair cracks in plaster, observed at ceiling and walls throughout unit. b. repair loose and damaged door trim at water heater closet. c. replace damaged/ missing panels at wall below kitchen sink. f"
row-igxc.y8ei-vbbb,permit language wrapping a condition,plumbing and electrical section,(none),plumbing,provide plumbing permit (103.1.1 pc) required for replacing plumbing lines. provide a copy of all finaled permits to the housing inspector at the time of re-inspection.
row-wemv-9tcj_bacv,no pattern matched,other section,(none),,inspector comments violations cited herein constitute a nuisance pursuant to sections 401 and 1001(d) of the san francisco housing code. it is the property owner¿s responsibility to be present or direct his/her representative to attend the reinspection as scheduled on this notice of violation for th
row-2zyp-na5d~2gdc,no pattern matched,other section,(none),,"inspector comments you are required to complete work within thirty days. you must call to re-schedule a reinspection if work is not complete by the date noted. note: in order to avoid telephone tag, please do not leave phone messages to set-up reinspections. in order to set-up a reinspection, please"
row-he7m.ti6s-dp7w,paint: lead vs peeling,interior surfaces section,floors_stairs,interior_surfaces,"repair damaged walls (1001b,h,o hc) repair, patch, texture, and paint the damaged wall at the rear stairs near room 220."
row-d69c~42cf.xqj5,no pattern matched,building section,(none),,provide shutoff tool for gas utility shutoff (712 hc) post enclosed gas meter instructional diagram in a public area. (712 hc) located at gas meter of the property.
row-hghc-3ha6.yc8c,three or more groups match,building section,lead_paint,peeling_paint,"remove or cover damaged/peeling paint in an approved manner to prevent a lead hazard. see lead hazard warning (1001k,1001h) on all sides of the building, there is peeling, worn and missing paint.remove or cover all worn and peeling paint to avoid lead hazard. (see lead hazard warning)"
